type,id,name,price,quantity,category,extra_field,expiry_date
otc,MED001,Paracetamol 500mg,1.00,1000,TABLET,false,2027-11-11
otc,MED002,Paracetamol 125mg/5ml,45.00,50,SYRUP,false,2026-06-07
otc,MED003,Ibuprofen 400mg,1.50,500,TABLET,false,2026-12-14
otc,MED004,Diclofenac Diethylamine,55.00,98,TOPICAL,false,2027-03-17
rx,MED005,Amoxicillin 500mg,8.00,298,TABLET,N/A,2026-05-20
rx,MED006,Ceftriaxone 1g,60.00,48,INJECTION,N/A,2026-10-24
rx,MED007,Azithromycin 500mg,22.00,197,TABLET,N/A,2027-02-02
otc,MED008,Cetirizine 10mg,2.00,600,TABLET,false,2026-08-25
otc,MED009,Cetirizine 5mg/5ml,50.00,40,SYRUP,false,2027-06-02
rx,MED010,Pantoprazole 40mg,7.50,800,TABLET,N/A,2026-03-31
rx,MED011,Pantoprazole 40mg,55.00,100,INJECTION,N/A,2026-12-20
otc,MED012,Digene (Magnesium Hydroxide),135.00,60,SYRUP,false,2027-06-28
rx,MED013,Metformin 500mg,2.50,1200,TABLET,N/A,2027-04-04
rx,MED014,Amlodipine 5mg,2.80,900,TABLET,N/A,2027-12-14
rx,MED015,Atorvastatin 10mg,8.50,700,TABLET,N/A,2027-11-04
otc,MED016,Povidone-Iodine (Betadine),80.00,50,TOPICAL,false,2027-08-24
rx,MED017,Insulin Glargine,680.00,30,INJECTION,N/A,2028-02-17
rx,MED018,Telmisartan 40mg,6.50,500,TABLET,N/A,2027-04-02
rx,MED019,Domperidone 10mg/5ml,65.00,40,SYRUP,N/A,2026-07-18
rx,MED020,Domperidone 10mg,3.00,400,TABLET,N/A,2026-10-18
otc,MED021,Clotrimazole 1%,75.00,80,TOPICAL,false,2027-06-26
otc,MED022,Vitamin B-Complex,2.50,1500,TABLET,false,2026-07-06
otc,MED023,B-Complex with B12,110.00,50,SYRUP,false,2027-08-03
rx,MED024,Ranitidine 150mg,1.20,400,TABLET,N/A,2027-12-31
rx,MED025,Ranitidine 25mg/ml,12.00,100,INJECTION,N/A,2026-11-15
rx,MED026,Furosemide 40mg,1.10,300,TABLET,N/A,2027-05-07
rx,MED027,Furosemide 10mg/ml,15.00,50,INJECTION,N/A,2026-09-05
otc,MED028,Loperamide 2mg,2.50,500,TABLET,false,2026-04-06
otc,MED029,ORS (Sachet),22.00,300,TOPICAL,false,2027-08-13
rx,MED030,Diclofenac Sodium 75mg,25.00,100,INJECTION,N/A,2027-08-16
rx,MED031,Ciprofloxacin 500mg,6.50,300,TABLET,N/A,2026-03-28
rx,MED032,Metronidazole 400mg,1.80,400,TABLET,N/A,2028-02-06
rx,MED033,Metronidazole Infusion,35.00,60,INJECTION,N/A,2026-12-17
rx,MED034,Albendazole 400mg,9.00,100,TABLET,N/A,2026-09-02
rx,MED035,Albendazole 200mg/5ml,35.00,40,SYRUP,N/A,2026-10-19
rx,MED036,Fluconazole 150mg,15.00,150,TABLET,N/A,2027-03-29
otc,MED037,Terbinafine Cream,95.00,50,TOPICAL,false,2027-06-10
rx,MED038,Hydrocortisone 1%,50.00,40,TOPICAL,N/A,2026-12-30
rx,MED039,Prednisolone 5mg,1.60,400,TABLET,N/A,2027-02-19
rx,MED040,Dexamethasone 4mg/ml,12.00,100,INJECTION,N/A,2027-03-11
rx,MED041,Ondansetron 4mg,5.00,300,TABLET,N/A,2026-09-22
rx,MED042,Ondansetron 2mg/5ml,45.00,200,SYRUP,N/A,2026-04-16
rx,MED043,Ondansetron 2mg/ml,28.00,60,INJECTION,N/A,2027-01-12
otc,MED044,Dextromethorphan (Dry Cough),95.00,80,SYRUP,false,2027-09-25
otc,MED045,Ambroxol (Wet Cough),85.00,80,SYRUP,false,2026-09-07
rx,MED046,Montelukast 10mg,14.00,300,TABLET,N/A,2027-04-10
otc,MED047,Levocetirizine 5mg,4.00,400,TABLET,false,2027-07-11
rx,MED048,Losartan 50mg,5.50,500,TABLET,N/A,2027-10-14
rx,MED049,Aspirin 75mg,0.50,1000,TABLET,N/A,2027-09-17
